entity,indicator,date,value
Norway,Daily hospital occupancy,2020-03-08,0.0
Norway,Daily hospital occupancy,2020-03-09,2.0
Norway,Daily hospital occupancy,2020-03-10,8.0
Norway,Daily hospital occupancy,2020-03-11,13.0
Norway,Daily hospital occupancy,2020-03-12,23.0
Norway,Daily hospital occupancy,2020-03-13,27.0
Norway,Daily hospital occupancy,2020-03-14,35.0
Norway,Daily hospital occupancy,2020-03-15,41.0
Norway,Daily hospital occupancy,2020-03-16,50.0
Norway,Daily hospital occupancy,2020-03-17,68.0
Norway,Daily hospital occupancy,2020-03-18,82.0
Norway,Daily hospital occupancy,2020-03-19,102.0
Norway,Daily hospital occupancy,2020-03-20,130.0
Norway,Daily hospital occupancy,2020-03-21,148.0
Norway,Daily hospital occupancy,2020-03-22,169.0
Norway,Daily hospital occupancy,2020-03-23,193.0
Norway,Daily hospital occupancy,2020-03-24,212.0
Norway,Daily hospital occupancy,2020-03-25,237.0
Norway,Daily hospital occupancy,2020-03-26,266.0
Norway,Daily hospital occupancy,2020-03-27,303.0
Norway,Daily hospital occupancy,2020-03-28,291.0
Norway,Daily hospital occupancy,2020-03-29,317.0
Norway,Daily hospital occupancy,2020-03-30,321.0
Norway,Daily hospital occupancy,2020-03-31,317.0
Norway,Daily hospital occupancy,2020-04-01,325.0
Norway,Daily hospital occupancy,2020-04-02,318.0
Norway,Daily hospital occupancy,2020-04-03,318.0
Norway,Daily hospital occupancy,2020-04-04,306.0
Norway,Daily hospital occupancy,2020-04-05,310.0
Norway,Daily hospital occupancy,2020-04-06,314.0
Norway,Daily hospital occupancy,2020-04-07,277.0
Norway,Daily hospital occupancy,2020-04-08,250.0
Norway,Daily hospital occupancy,2020-04-09,252.0
Norway,Daily hospital occupancy,2020-04-10,234.0
Norway,Daily hospital occupancy,2020-04-11,214.0
Norway,Daily hospital occupancy,2020-04-12,214.0
Norway,Daily hospital occupancy,2020-04-13,204.0
Norway,Daily hospital occupancy,2020-04-14,201.0
Norway,Daily hospital occupancy,2020-04-15,190.0
Norway,Daily hospital occupancy,2020-04-16,175.0
Norway,Daily hospital occupancy,2020-04-17,165.0
Norway,Daily hospital occupancy,2020-04-18,148.0
Norway,Daily hospital occupancy,2020-04-19,153.0
Norway,Daily hospital occupancy,2020-04-20,160.0
Norway,Daily hospital occupancy,2020-04-21,144.0
Norway,Daily hospital occupancy,2020-04-22,129.0
Norway,Daily hospital occupancy,2020-04-23,123.0
Norway,Daily hospital occupancy,2020-04-24,120.0
Norway,Daily hospital occupancy,2020-04-25,114.0
Norway,Daily hospital occupancy,2020-04-26,122.0
Norway,Daily hospital occupancy,2020-04-27,125.0
Norway,Daily hospital occupancy,2020-04-28,119.0
Norway,Daily hospital occupancy,2020-04-29,114.0
Norway,Daily hospital occupancy,2020-04-30,98.0
Norway,Daily hospital occupancy,2020-05-01,82.0
Norway,Daily hospital occupancy,2020-05-02,81.0
Norway,Daily hospital occupancy,2020-05-03,80.0
Norway,Daily hospital occupancy,2020-05-04,82.0
Norway,Daily hospital occupancy,2020-05-05,71.0
Norway,Daily hospital occupancy,2020-05-06,62.0
Norway,Daily hospital occupancy,2020-05-07,63.0
Norway,Daily hospital occupancy,2020-05-08,61.0
Norway,Daily hospital occupancy,2020-05-09,59.0
Norway,Daily hospital occupancy,2020-05-10,60.0
Norway,Daily hospital occupancy,2020-05-11,59.0
Norway,Daily hospital occupancy,2020-05-12,59.0
Norway,Daily hospital occupancy,2020-05-13,61.0
Norway,Daily hospital occupancy,2020-05-14,61.0
Norway,Daily hospital occupancy,2020-05-15,58.0
Norway,Daily hospital occupancy,2020-05-16,52.0
Norway,Daily hospital occupancy,2020-05-17,52.0
Norway,Daily hospital occupancy,2020-05-18,52.0
Norway,Daily hospital occupancy,2020-05-19,51.0
Norway,Daily hospital occupancy,2020-05-20,51.0
Norway,Daily hospital occupancy,2020-05-21,41.0
Norway,Daily hospital occupancy,2020-05-22,45.0
Norway,Daily hospital occupancy,2020-05-23,35.0
Norway,Daily hospital occupancy,2020-05-24,38.0
Norway,Daily hospital occupancy,2020-05-25,40.0
Norway,Daily hospital occupancy,2020-05-26,37.0
Norway,Daily hospital occupancy,2020-05-27,36.0
Norway,Daily hospital occupancy,2020-05-28,36.0
Norway,Daily hospital occupancy,2020-05-29,30.0
Norway,Daily hospital occupancy,2020-05-30,28.0
Norway,Daily hospital occupancy,2020-05-31,28.0
Norway,Daily hospital occupancy,2020-06-01,29.0
Norway,Daily hospital occupancy,2020-06-02,32.0
Norway,Daily hospital occupancy,2020-06-03,27.0
Norway,Daily hospital occupancy,2020-06-04,29.0
Norway,Daily hospital occupancy,2020-06-05,22.0
Norway,Daily hospital occupancy,2020-06-06,21.0
Norway,Daily hospital occupancy,2020-06-07,21.0
Norway,Daily hospital occupancy,2020-06-08,21.0
Norway,Daily hospital occupancy,2020-06-09,21.0
Norway,Daily hospital occupancy,2020-06-10,18.0
Norway,Daily hospital occupancy,2020-06-11,16.0
Norway,Daily hospital occupancy,2020-06-12,16.0
Norway,Daily hospital occupancy,2020-06-13,18.0
Norway,Daily hospital occupancy,2020-06-15,18.0
Norway,Daily hospital occupancy,2020-06-16,18.0
Norway,Daily hospital occupancy,2020-06-17,18.0
Norway,Daily hospital occupancy,2020-06-18,19.0
Norway,Daily hospital occupancy,2020-06-19,17.0
Norway,Daily hospital occupancy,2020-06-22,13.0
Norway,Daily hospital occupancy,2020-06-23,12.0
Norway,Daily hospital occupancy,2020-06-24,16.0
Norway,Daily hospital occupancy,2020-06-25,18.0
Norway,Daily hospital occupancy,2020-06-26,20.0
Norway,Daily hospital occupancy,2020-06-29,18.0
Norway,Daily hospital occupancy,2020-06-30,18.0
Norway,Daily hospital occupancy,2020-07-01,17.0
Norway,Daily hospital occupancy,2020-07-02,19.0
Norway,Daily hospital occupancy,2020-07-03,15.0
Norway,Daily hospital occupancy,2020-07-06,11.0
Norway,Daily hospital occupancy,2020-07-07,9.0
Norway,Daily hospital occupancy,2020-07-08,8.0
Norway,Daily hospital occupancy,2020-07-09,8.0
Norway,Daily hospital occupancy,2020-07-10,4.0
Norway,Daily hospital occupancy,2020-07-13,7.0
Norway,Daily hospital occupancy,2020-07-14,7.0
Norway,Daily hospital occupancy,2020-07-15,5.0
Norway,Daily hospital occupancy,2020-07-16,6.0
Norway,Daily hospital occupancy,2020-07-17,8.0
Norway,Daily hospital occupancy,2020-07-20,10.0
Norway,Daily hospital occupancy,2020-07-21,7.0
Norway,Daily hospital occupancy,2020-07-22,3.0
Norway,Daily hospital occupancy,2020-07-23,3.0
Norway,Daily hospital occupancy,2020-07-24,3.0
Norway,Daily hospital occupancy,2020-07-27,7.0
Norway,Daily hospital occupancy,2020-07-28,5.0
Norway,Daily hospital occupancy,2020-07-29,6.0
Norway,Daily hospital occupancy,2020-07-30,6.0
Norway,Daily hospital occupancy,2020-07-31,3.0
Norway,Daily hospital occupancy,2020-08-03,14.0
Norway,Daily hospital occupancy,2020-08-04,12.0
Norway,Daily hospital occupancy,2020-08-05,11.0
Norway,Daily hospital occupancy,2020-08-06,14.0
Norway,Daily hospital occupancy,2020-08-07,15.0
Norway,Daily hospital occupancy,2020-08-10,16.0
Norway,Daily hospital occupancy,2020-08-11,15.0
Norway,Daily hospital occupancy,2020-08-12,15.0
Norway,Daily hospital occupancy,2020-08-13,12.0
Norway,Daily hospital occupancy,2020-08-14,8.0
Norway,Daily hospital occupancy,2020-08-17,14.0
Norway,Daily hospital occupancy,2020-08-18,12.0
Norway,Daily hospital occupancy,2020-08-19,11.0
Norway,Daily hospital occupancy,2020-08-20,10.0
Norway,Daily hospital occupancy,2020-08-21,13.0
Norway,Daily hospital occupancy,2020-08-24,17.0
Norway,Daily hospital occupancy,2020-08-25,18.0
Norway,Daily hospital occupancy,2020-08-26,17.0
Norway,Daily hospital occupancy,2020-08-27,17.0
Norway,Daily hospital occupancy,2020-08-28,16.0
Norway,Daily hospital occupancy,2020-08-31,12.0
Norway,Daily hospital occupancy,2020-09-01,11.0
Norway,Daily hospital occupancy,2020-09-02,11.0
Norway,Daily hospital occupancy,2020-09-03,13.0
Norway,Daily hospital occupancy,2020-09-04,16.0
Norway,Daily hospital occupancy,2020-09-07,15.0
Norway,Daily hospital occupancy,2020-09-08,11.0
Norway,Daily hospital occupancy,2020-09-09,14.0
Norway,Daily hospital occupancy,2020-09-10,11.0
Norway,Daily hospital occupancy,2020-09-11,16.0
Norway,Daily hospital occupancy,2020-09-14,21.0
Norway,Daily hospital occupancy,2020-09-15,18.0
Norway,Daily hospital occupancy,2020-09-16,16.0
Norway,Daily hospital occupancy,2020-09-17,20.0
Norway,Daily hospital occupancy,2020-09-18,16.0
Norway,Daily hospital occupancy,2020-09-21,23.0
