location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Bulgaria,2021-01-08,18,24,0.04,0.0,0.0
Bulgaria,2021-01-08,25,49,0.18,0.0,0.0
Bulgaria,2021-01-08,50,59,0.46,0.0,0.0
Bulgaria,2021-01-08,60,69,0.4,0.0,0.0
Bulgaria,2021-01-08,70,79,0.12,0.0,0.0
Bulgaria,2021-01-08,80,,0.04,0.0,0.0
Bulgaria,2021-01-15,18,24,0.05,0.0,0.0
Bulgaria,2021-01-15,25,49,0.25,0.0,0.0
Bulgaria,2021-01-15,50,59,0.62,0.0,0.0
Bulgaria,2021-01-15,60,69,0.55,0.0,0.0
Bulgaria,2021-01-15,70,79,0.16,0.0,0.0
Bulgaria,2021-01-15,80,,0.06,0.0,0.0
Bulgaria,2021-01-22,18,24,0.06,0.01,0.0
Bulgaria,2021-01-22,25,49,0.29,0.06,0.0
Bulgaria,2021-01-22,50,59,0.72,0.17,0.0
Bulgaria,2021-01-22,60,69,0.64,0.13,0.0
Bulgaria,2021-01-22,70,79,0.19,0.04,0.0
Bulgaria,2021-01-22,80,,0.07,0.01,0.0
Bulgaria,2021-01-29,18,24,0.07,0.04,0.0
Bulgaria,2021-01-29,25,49,0.38,0.17,0.0
Bulgaria,2021-01-29,50,59,0.91,0.44,0.0
Bulgaria,2021-01-29,60,69,0.84,0.39,0.0
Bulgaria,2021-01-29,70,79,0.28,0.12,0.0
Bulgaria,2021-01-29,80,,0.12,0.04,0.0
Bulgaria,2021-02-05,18,24,0.1,0.05,0.0
Bulgaria,2021-02-05,25,49,0.52,0.23,0.0
Bulgaria,2021-02-05,50,59,1.28,0.59,0.0
Bulgaria,2021-02-05,60,69,1.15,0.52,0.0
Bulgaria,2021-02-05,70,79,0.41,0.16,0.0
Bulgaria,2021-02-05,80,,0.31,0.05,0.0
Bulgaria,2021-02-12,18,24,0.13,0.06,0.0
Bulgaria,2021-02-12,25,49,0.76,0.28,0.0
Bulgaria,2021-02-12,50,59,1.79,0.69,0.0
Bulgaria,2021-02-12,60,69,1.51,0.62,0.0
Bulgaria,2021-02-12,70,79,0.51,0.19,0.0
Bulgaria,2021-02-12,80,,0.42,0.06,0.0
Bulgaria,2021-02-19,18,24,0.31,0.07,0.0
Bulgaria,2021-02-19,25,49,1.39,0.36,0.0
Bulgaria,2021-02-19,50,59,2.87,0.88,0.0
Bulgaria,2021-02-19,60,69,2.33,0.81,0.0
Bulgaria,2021-02-19,70,79,0.93,0.27,0.0
Bulgaria,2021-02-19,80,,0.71,0.12,0.0
Bulgaria,2021-02-26,18,24,0.71,0.09,0.0
Bulgaria,2021-02-26,25,49,2.31,0.49,0.0
Bulgaria,2021-02-26,50,59,4.55,1.21,0.0
Bulgaria,2021-02-26,60,69,4.61,1.1,0.0
Bulgaria,2021-02-26,70,79,3.33,0.39,0.0
Bulgaria,2021-02-26,80,,2.08,0.28,0.0
Bulgaria,2021-03-05,18,24,0.95,0.11,0.0
Bulgaria,2021-03-05,25,49,2.9,0.67,0.0
Bulgaria,2021-03-05,50,59,5.71,1.65,0.0
Bulgaria,2021-03-05,60,69,6.52,1.43,0.0
Bulgaria,2021-03-05,70,79,5.52,0.49,0.0
Bulgaria,2021-03-05,80,,3.31,0.39,0.0
Bulgaria,2021-03-12,18,24,1.15,0.14,0.0
Bulgaria,2021-03-12,25,49,3.33,0.79,0.0
Bulgaria,2021-03-12,50,59,6.48,1.92,0.0
Bulgaria,2021-03-12,60,69,7.68,1.64,0.0
Bulgaria,2021-03-12,70,79,6.9,0.57,0.0
Bulgaria,2021-03-12,80,,4.17,0.45,0.0
Bulgaria,2021-03-19,18,24,1.25,0.2,0.0
Bulgaria,2021-03-19,25,49,3.62,0.97,0.0
Bulgaria,2021-03-19,50,59,6.9,2.24,0.0
Bulgaria,2021-03-19,60,69,8.07,1.99,0.0
Bulgaria,2021-03-19,70,79,7.16,0.8,0.0
Bulgaria,2021-03-19,80,,4.35,0.57,0.0
Bulgaria,2021-03-26,18,24,1.58,0.29,0.0
Bulgaria,2021-03-26,25,49,4.32,1.2,0.0
Bulgaria,2021-03-26,50,59,7.91,2.65,0.0
Bulgaria,2021-03-26,60,69,9.3,2.47,0.0
Bulgaria,2021-03-26,70,79,8.42,1.13,0.0
Bulgaria,2021-03-26,80,,5.12,0.69,0.0
Bulgaria,2021-04-02,18,24,1.93,0.36,0.0
Bulgaria,2021-04-02,25,49,5.07,1.39,0.0
Bulgaria,2021-04-02,50,59,8.97,2.96,0.0
Bulgaria,2021-04-02,60,69,10.59,2.76,0.0
Bulgaria,2021-04-02,70,79,9.79,1.35,0.0
Bulgaria,2021-04-02,80,,6.03,0.83,0.0
Bulgaria,2021-04-09,18,24,2.22,0.43,0.0
Bulgaria,2021-04-09,25,49,5.68,1.6,0.0
Bulgaria,2021-04-09,50,59,9.9,3.28,0.0
Bulgaria,2021-04-09,60,69,12.15,3.04,0.0
Bulgaria,2021-04-09,70,79,11.67,1.52,0.0
Bulgaria,2021-04-09,80,,7.29,0.94,0.0
Bulgaria,2021-04-16,18,24,2.47,0.52,0.0
Bulgaria,2021-04-16,25,49,6.25,1.86,0.0
Bulgaria,2021-04-16,50,59,10.76,3.67,0.0
Bulgaria,2021-04-16,60,69,13.52,3.38,0.0
Bulgaria,2021-04-16,70,79,13.29,1.74,0.0
Bulgaria,2021-04-16,80,,8.36,1.09,0.0
Bulgaria,2021-04-23,18,24,2.75,0.71,0.0
